,Station ID,AQI,CO,Dew,Humidity,NO2,Pressure,PM10,PM2.5,Temperature,Wind,Data Time
0,8767,102.0,,22.248210340256296,83.0,,,,102.0,27.0,3.6,1/21/2021 19:00
1,8688,221.0,,22.248210340256296,77.0,,,,,18.0,1.5,1/21/2021 20:00
2,8641,281.0,0.3,22.248210340256296,77.0,8.7,,,281.0,18.0,1.5,1/21/2021 20:00
3,13012,36.0,3.0,22.248210340256296,60.2,6.0,923.7,29.0,36.0,24.3,1.0,1/21/2021 20:00
4,12488,68.0,2.0,22.248210340256296,88.0,,,52.0,68.0,21.0,1.0,1/21/2021 19:00
5,13251,217.0,12.0,22.248210340256296,77.0,65.0,,194.0,217.0,18.0,1.5,1/21/2021 19:00
6,12976,195.0,8.0,22.248210340256296,77.0,17.0,,119.0,195.0,18.0,1.5,1/21/2021 20:00
7,13250,168.0,37.0,22.248210340256296,70.3,2.0,,65.0,168.0,18.5,1.0,1/21/2021 20:00
8,5507,48.0,,22.248210340256296,95.7,11.0,,25.0,48.0,17.0,2.0,1/21/2021 19:00
9,11778,18.0,5.0,22.248210340256296,97.5,5.0,,12.0,18.0,15.4,1.0,1/21/2021 5:00
10,12958,251.0,7.0,22.248210340256296,77.0,52.0,,155.0,251.0,18.0,1.5,1/21/2021 20:00
11,12957,315.0,7.0,22.248210340256296,77.0,48.0,,205.0,315.0,18.0,1.5,1/21/2021 20:00
12,13015,224.0,61.0,22.248210340256296,79.5,80.0,,185.0,224.0,18.0,1.2,1/21/2021 19:00
13,13018,177.0,20.0,22.248210340256296,79.5,42.0,,112.0,177.0,18.0,1.2,1/21/2021 19:00
14,13019,179.0,14.0,22.248210340256296,79.5,47.0,,122.0,179.0,18.0,1.2,1/21/2021 19:00
15,13026,214.0,19.0,22.248210340256296,77.0,36.0,,149.0,214.0,18.0,1.2,1/21/2021 19:00
16,1584,,3.0,22.248210340256296,88.0,1.0,,,,21.0,4.6,1/21/2021 19:00
17,1585,,7.0,22.248210340256296,83.0,13.0,,,,23.0,5.1,1/21/2021 20:00
18,13017,213.0,31.0,22.248210340256296,79.5,34.0,,175.0,213.0,18.0,1.2,1/21/2021 19:00
19,13020,166.0,13.0,22.248210340256296,79.5,33.0,,105.0,166.0,18.0,1.2,1/21/2021 19:00
20,13013,221.0,38.0,22.248210340256296,79.5,31.0,,177.0,221.0,18.0,1.2,1/21/2021 19:00
21,13014,191.0,17.0,22.248210340256296,82.0,,,130.0,191.0,18.0,1.0,1/21/2021 20:00
22,13252,213.0,,22.248210340256296,77.8,,986.3,204.0,213.0,17.2,2.0,1/21/2021 21:00
23,8767,122.0,,22.248210340256296,56.5,,,,122.0,30.5,2.5,1/22/2021 13:00
24,8688,192.0,,22.248210340256296,53.0,,,,,22.0,2.0,1/22/2021 13:00
25,8641,189.0,0.1,22.248210340256296,51.0,8.7,,,189.0,22.5,2.3,1/22/2021 13:00
26,13012,18.0,4.0,22.248210340256296,64.3,13.0,926.2,18.0,17.0,23.0,2.0,1/22/2021 13:00
27,12488,,2.0,22.248210340256296,93.0,,,52.0,68.0,20.0,3.3,1/22/2021 13:00
28,13251,189.0,12.0,22.248210340256296,58.0,42.0,,156.0,189.0,22.0,2.0,1/22/2021 12:00
29,12976,164.0,5.0,22.248210340256296,53.0,14.0,,88.0,164.0,22.0,2.0,1/22/2021 13:00
30,13250,131.0,38.0,22.248210340256296,93.2,3.0,,24.0,131.0,16.7,1.0,1/22/2021 13:00
31,5507,49.0,,22.248210340256296,86.2,14.0,,26.0,49.0,21.3,1.0,1/22/2021 13:00
32,11778,38.0,6.0,22.248210340256296,86.2,14.0,,24.0,38.0,21.3,1.0,1/22/2021 12:00
33,12958,235.0,5.0,22.248210340256296,53.0,25.0,,138.0,235.0,22.0,2.0,1/22/2021 13:00
34,12957,252.0,2.0,22.248210340256296,53.0,15.0,,157.0,252.0,22.0,2.0,1/22/2021 13:00
35,13015,191.0,48.0,22.248210340256296,58.0,47.0,,157.0,191.0,22.0,2.0,1/22/2021 12:00
36,13018,161.0,9.0,22.248210340256296,53.0,31.0,,90.0,161.0,22.0,2.0,1/22/2021 12:00
37,13019,164.0,7.0,22.248210340256296,58.0,30.0,,114.0,164.0,22.0,2.0,1/22/2021 12:00
